survey_id,survey_choice,value
1,男性,1
1,女性,0
1,その他,99
2,10歳代,1
2,20歳代,2
2,30歳代,3
2,40歳代,4
2,50歳代,5
2,60歳代,6
2,70歳代以上,7
3,学生・生徒,1
3,会社員,2
3,公務員,3
3,自営業,4
3,主婦・主夫,5
3,パート・アルバイト,6
3,その他,99
4,はい,1
4,いいえ,0
5,はい,1
5,いいえ,0
6,1人で参加,1
6,2人で参加,2
6,3人で参加,3
6,4人以上で参加,4
7,友人と,1
7,夫婦・恋人と,2
7,家族（子ども含む）と,3
7,仕事仲間と,4
7,その他,99

9,まったくそうでない,1
9,かなりそうでない,2
9,ややそうでない,3
9,どちらともいえない,4
9,ややそうである,5
9,かなりそうである,6
9,まったくそうである,7
10,まったくそうでない,1
10,かなりそうでない,2
10,ややそうでない,3
10,どちらともいえない,4
10,ややそうである,5
10,かなりそうである,6
10,まったくそうである,7
11,まったくそうでない,1
11,かなりそうでない,2
11,ややそうでない,3
11,どちらともいえない,4
11,ややそうである,5
11,かなりそうである,6
11,まったくそうである,7
12,まったくそうでない,1
12,かなりそうでない,2
12,ややそうでない,3
12,どちらともいえない,4
12,ややそうである,5
12,かなりそうである,6
12,まったくそうである,7
13,まったくそうでない,1
13,かなりそうでない,2
13,ややそうでない,3
13,どちらともいえない,4
13,ややそうである,5
13,かなりそうである,6
13,まったくそうである,7
14,まったくそうでない,1
14,かなりそうでない,2
14,ややそうでない,3
14,どちらともいえない,4
14,ややそうである,5
14,かなりそうである,6
14,まったくそうである,7
15,まったくそうでない,1
15,かなりそうでない,2
15,ややそうでない,3
15,どちらともいえない,4
15,ややそうである,5
15,かなりそうである,6
15,まったくそうである,7
16,まったくそうでない,1
16,かなりそうでない,2
16,ややそうでない,3
16,どちらともいえない,4
16,ややそうである,5
16,かなりそうである,6
16,まったくそうである,7
17,まったくそうでない,1
17,かなりそうでない,2
17,ややそうでない,3
17,どちらともいえない,4
17,ややそうである,5
17,かなりそうである,6
17,まったくそうである,7
18,まったくそうでない,1
18,かなりそうでない,2
18,ややそうでない,3
18,どちらともいえない,4
18,ややそうである,5
18,かなりそうである,6
18,まったくそうである,7
19,まったくそうでない,1
19,かなりそうでない,2
19,ややそうでない,3
19,どちらともいえない,4
19,ややそうである,5
19,かなりそうである,6
19,まったくそうである,7
20,まったくそうでない,1
20,かなりそうでない,2
20,ややそうでない,3
20,どちらともいえない,4
20,ややそうである,5
20,かなりそうである,6
20,まったくそうである,7

22,非常に好き,7
22,かなり好き,6
22,やや好き,5
22,どちらともいえない,4
22,やや嫌い,3
22,かなり嫌い,2
22,非常に嫌い,1
23,非常に快適,7
23,かなり快適,6
23,やや快適,5
23,どちらともいえない,4
23,やや不快,3
23,かなり不快,2
23,非常に不快,1
24,非常に面白い,7
24,かなり面白い,6
24,やや面白い,5
24,どちらともいえない,4
24,ややたいくつ,3
24,かなりたいくつ,2
24,非常にたいくつ,1
25,非常に落ち着く,7
25,かなり落ち着く,6
25,やや落ち着く,5
25,どちらともいえない,4
25,ややイライラする,3
25,かなりイライラする,2
25,非常にイライラする,1
26,非常に安らぎがある,7
26,かなり安らぎがある,6
26,やや安らぎがある,5
26,どちらともいえない,4
26,やや安らぎがない,3
26,かなり安らぎがない,2
26,非常に安らぎがない,1
27,非常に明るい,7
27,かなり明るい,6
27,やや明るい,5
27,どちらともいえない,4
27,やや暗い,3
27,かなり暗い,2
27,非常に暗い,1
28,非常に緑が多い,7
28,かなり緑が多い,6
28,やや緑が多い,5
28,どちらともいえない,4
28,やや緑が少ない,3
28,かなり緑が少ない,2
28,非常に緑が少ない,1
29,非常に自然な,7
29,かなり自然な,6
29,やや自然な,5
29,どちらともいえない,4
29,やや人工的な,3
29,かなり人工的な,2
29,非常に人工的な,1
30,非常にきれいな,7
30,かなりきれいな,6
30,ややきれいな,5
30,どちらともいえない,4
30,やや汚い,3
30,かなり汚い,2
30,非常に汚い,1
31,非常に広々とした,7
31,かなり広々とした,6
31,やや広々とした,5
31,どちらともいえない,4
31,やや窮屈,3
31,かなり窮屈,2
31,非常に窮屈,1
32,非常に歩きやすい,7
32,かなり歩きやすい,6
32,やや歩きやすい,5
32,どちらともいえない,4
32,やや歩きにくい,3
32,かなり歩きにくい,2
32,非常に歩きにくい,1
33,非常に楽しい,7
33,かなり楽しい,6
33,やや楽しい,5
33,どちらともいえない,4
33,やや楽しくない,3
33,かなり楽しくない,2
33,非常に楽しくない,1
34,非常に個性的な,7
34,かなり個性的な,6
34,やや個性的な,5
34,どちらともいえない,4
34,やや平凡,3
34,かなり平凡,2
34,非常に平凡,1
35,非常に開放的な,7
35,かなり開放的な,6
35,やや開放的な,5
35,どちらともいえない,4
35,やや圧迫感がある,3
35,かなり圧迫感がある,2
35,非常に圧迫感がある,1
36,非常に活発な,7
36,かなり活発な,6
36,やや活発な,5
36,どちらともいえない,4
36,ややおとなしい,3
36,かなりおとなしい,2
36,非常におとなしい,1

38,まったくそうでない,1
38,かなりそうでない,2
38,ややそうでない,3
38,どちらともいえない,4
38,ややそうである,5
38,かなりそうである,6
38,まったくそうである,7
39,まったくそうでない,1
39,かなりそうでない,2
39,ややそうでない,3
39,どちらともいえない,4
39,ややそうである,5
39,かなりそうである,6
39,まったくそうである,7
40,まったくそうでない,1
40,かなりそうでない,2
40,ややそうでない,3
40,どちらともいえない,4
40,ややそうである,5
40,かなりそうである,6
40,まったくそうである,7
41,まったくそうでない,1
41,かなりそうでない,2
41,ややそうでない,3
41,どちらともいえない,4
41,ややそうである,5
41,かなりそうである,6
41,まったくそうである,7
42,まったくそうでない,1
42,かなりそうでない,2
42,ややそうでない,3
42,どちらともいえない,4
42,ややそうである,5
42,かなりそうである,6
42,まったくそうである,7
43,まったくそうでない,1
43,かなりそうでない,2
43,ややそうでない,3
43,どちらともいえない,4
43,ややそうである,5
43,かなりそうである,6
43,まったくそうである,7
44,まったくそうでない,1
44,かなりそうでない,2
44,ややそうでない,3
44,どちらともいえない,4
44,ややそうである,5
44,かなりそうである,6
44,まったくそうである,7
45,まったくそうでない,1
45,かなりそうでない,2
45,ややそうでない,3
45,どちらともいえない,4
45,ややそうである,5
45,かなりそうである,6
45,まったくそうである,7
46,まったくそうでない,1
46,かなりそうでない,2
46,ややそうでない,3
46,どちらともいえない,4
46,ややそうである,5
46,かなりそうである,6
46,まったくそうである,7
47,まったくそうでない,1
47,かなりそうでない,2
47,ややそうでない,3
47,どちらともいえない,4
47,ややそうである,5
47,かなりそうである,6
47,まったくそうである,7

49,0,0
49,1,1
49,2,2
49,3,3
49,4,4
49,5,5
49,6,6
49,7,7
49,8,8
49,9,9
49,10,10
50,0,0
50,1,1
50,2,2
50,3,3
50,4,4
50,5,5
50,6,6
50,7,7
50,8,8
50,9,9
50,10,10
51,0,0
51,1,1
51,2,2
51,3,3
51,4,4
51,5,5
51,6,6
51,7,7
51,8,8
51,9,9
51,10,10
52,0,0
52,1,1
52,2,2
52,3,3
52,4,4
52,5,5
52,6,6
52,7,7
52,8,8
52,9,9
52,10,10
53,0,0
53,1,1
53,2,2
53,3,3
53,4,4
53,5,5
53,6,6
53,7,7
53,8,8
53,9,9
53,10,10
54,0,0
54,1,1
54,2,2
54,3,3
54,4,4
54,5,5
54,6,6
54,7,7
54,8,8
54,9,9
54,10,10

56,まったくそうでない,1
56,かなりそうでない,2
56,ややそうでない,3
56,どちらともいえない,4
56,ややそうである,5
56,かなりそうである,6
56,まったくそうである,7
57,まったくそうでない,1
57,かなりそうでない,2
57,ややそうでない,3
57,どちらともいえない,4
57,ややそうである,5
57,かなりそうである,6
57,まったくそうである,7
58,まったくそうでない,1
58,かなりそうでない,2
58,ややそうでない,3
58,どちらともいえない,4
58,ややそうである,5
58,かなりそうである,6
58,まったくそうである,7
59,まったくそうでない,1
59,かなりそうでない,2
59,ややそうでない,3
59,どちらともいえない,4
59,ややそうである,5
59,かなりそうである,6
59,まったくそうである,7
60,まったくそうでない,1
60,かなりそうでない,2
60,ややそうでない,3
60,どちらともいえない,4
60,ややそうである,5
60,かなりそうである,6
60,まったくそうである,7
61,まったくそうでない,1
61,かなりそうでない,2
61,ややそうでない,3
61,どちらともいえない,4
61,ややそうである,5
61,かなりそうである,6
61,まったくそうである,7
62,まったくそうでない,1
62,かなりそうでない,2
62,ややそうでない,3
62,どちらともいえない,4
62,ややそうである,5
62,かなりそうである,6
62,まったくそうである,7
63,まったくそうでない,1
63,かなりそうでない,2
63,ややそうでない,3
63,どちらともいえない,4
63,ややそうである,5
63,かなりそうである,6
63,まったくそうである,7
64,まったくそうでない,1
64,かなりそうでない,2
64,ややそうでない,3
64,どちらともいえない,4
64,ややそうである,5
64,かなりそうである,6
64,まったくそうである,7
65,まったくそうでない,1
65,かなりそうでない,2
65,ややそうでない,3
65,どちらともいえない,4
65,ややそうである,5
65,かなりそうである,6
65,まったくそうである,7
66,まったくそうでない,1
66,かなりそうでない,2
66,ややそうでない,3
66,どちらともいえない,4
66,ややそうである,5
66,かなりそうである,6
66,まったくそうである,7
67,まったくそうでない,1
67,かなりそうでない,2
67,ややそうでない,3
67,どちらともいえない,4
67,ややそうである,5
67,かなりそうである,6
67,まったくそうである,7

69,非常に好き,7
69,かなり好き,6
69,やや好き,5
69,どちらともいえない,4
69,やや嫌い,3
69,かなり嫌い,2
69,非常に嫌い,1
70,非常に快適,7
70,かなり快適,6
70,やや快適,5
70,どちらともいえない,4
70,やや不快,3
70,かなり不快,2
70,非常に不快,1
71,非常に面白い,7
71,かなり面白い,6
71,やや面白い,5
71,どちらともいえない,4
71,ややたいくつ,3
71,かなりたいくつ,2
71,非常にたいくつ,1
72,非常に落ち着く,7
72,かなり落ち着く,6
72,やや落ち着く,5
72,どちらともいえない,4
72,ややイライラする,3
72,かなりイライラする,2
72,非常にイライラする,1
73,非常に安らぎがある,7
73,かなり安らぎがある,6
73,やや安らぎがある,5
73,どちらともいえない,4
73,やや安らぎがない,3
73,かなり安らぎがない,2
73,非常に安らぎがない,1
74,非常に明るい,7
74,かなり明るい,6
74,やや明るい,5
74,どちらともいえない,4
74,やや暗い,3
74,かなり暗い,2
74,非常に暗い,1
75,非常に緑が多い,7
75,かなり緑が多い,6
75,やや緑が多い,5
75,どちらともいえない,4
75,やや緑が少ない,3
75,かなり緑が少ない,2
75,非常に緑が少ない,1
76,非常に自然な,7
76,かなり自然な,6
76,やや自然な,5
76,どちらともいえない,4
76,やや人工的な,3
76,かなり人工的な,2
76,非常に人工的な,1
77,非常にきれいな,7
77,かなりきれいな,6
77,ややきれいな,5
77,どちらともいえない,4
77,やや汚い,3
77,かなり汚い,2
77,非常に汚い,1
78,非常に広々とした,7
78,かなり広々とした,6
78,やや広々とした,5
78,どちらともいえない,4
78,やや窮屈,3
78,かなり窮屈,2
78,非常に窮屈,1
79,非常に歩きやすい,7
79,かなり歩きやすい,6
79,やや歩きやすい,5
79,どちらともいえない,4
79,やや歩きにくい,3
79,かなり歩きにくい,2
79,非常に歩きにくい,1
80,非常に楽しい,7
80,かなり楽しい,6
80,やや楽しい,5
80,どちらともいえない,4
80,やや楽しくない,3
80,かなり楽しくない,2
80,非常に楽しくない,1
81,非常に個性的な,7
81,かなり個性的な,6
81,やや個性的な,5
81,どちらともいえない,4
81,やや平凡,3
81,かなり平凡,2
81,非常に平凡,1
82,非常に開放的な,7
82,かなり開放的な,6
82,やや開放的な,5
82,どちらともいえない,4
82,やや圧迫感がある,3
82,かなり圧迫感がある,2
82,非常に圧迫感がある,1
83,非常に活発な,7
83,かなり活発な,6
83,やや活発な,5
83,どちらともいえない,4
83,ややおとなしい,3
83,かなりおとなしい,2
83,非常におとなしい,1
84,とても使いやすかった,5
84,やや使いやすかった,4
84,どちらともいえない,3
84,あまり使いやすくなかった,2
84,全く使いやすくなかった,1
85,とても楽しかった,5
85,やや楽しかった,4
85,どちらともいえない,3
85,あまり楽しくなかった,2
85,全く楽しくなかった,1
86,落語みゅーじあむ,1
86,池田城跡公園,2
86,池田観光案内所,3
86,まがり書房,5
86,井戸の辻（ビリケンさん）,6
86,shokuの店,7
86,特になかった,99
87,とてもわかりやすかった,5
87,ややわかりやすかった,4
87,どちらともいえない,3
87,あまりわかりやすくなかった,2
87,まったくわかりやすくなかった,1
88,とても難しかった,5
88,やや難しかった,4
88,どちらともいえない,3
88,やや易しかった,2
88,とても易しかった,1
89,多すぎた,5
89,少し多すぎた,4
89,ちょうどよい,3
89,やや少なすぎた,2
89,少なすぎた,1
90,とても参加したいと思う,5
90,やや参加したいと思う,4
90,どちらともいえない,3
90,あまり参加したいと思わない,2
90,まったく参加したいと思わない,1
91,とても拡散したいと思う,5
91,やや拡散したいと思う,4
91,どちらともいえない,3
91,あまり拡散したいと思わない,2
91,まったく拡散したいと思わない,1
92,初めて,0
92,第1回（2022年）も来た,1
92,第2回（2023年）も来た,2
92,第3回（2024年6月）も来た,3
93,広報いけだ,1
93,ポスター,2
93,公式WEB,3
93,公式Instagram,4
93,クチコミ・知人の紹介,5
93,知人が出店,6
93,エリアプラットフォームや運営委員会に入っている,7
93,たまたま駅前を訪れて,8
93,その他,99
94,15分程度,1
94,30分程度,2
94,1時間程度,3
94,2時間程度,4
94,2時間以上,5
95,エキナカマルシェ,1
95,せせらぎこどもフェスタ,2
95,駅前公園本部,3
95,サカエマチ商店街,4
95,SUBACO,5
95,休憩施設を利用していない,0

97,とても満足した,5
97,やや満足した,4
97,どちらでもない,3
97,やや不満足だった,2
97,とても不満足だった,1
97,訪れていない,99
98,とても満足した,5
98,やや満足した,4
98,どちらでもない,3
98,やや不満足だった,2
98,とても不満足だった,1
98,訪れていない,99
99,とても満足した,5
99,やや満足した,4
99,どちらでもない,3
99,やや不満足だった,2
99,とても不満足だった,1
99,訪れていない,99
100,とても満足した,5
100,やや満足した,4
100,どちらでもない,3
100,やや不満足だった,2
100,とても不満足だった,1
100,訪れていない,99
101,とても満足した,5
101,やや満足した,4
101,どちらでもない,3
101,やや不満足だった,2
101,とても不満足だった,1
101,訪れていない,99
102,とても満足した,5
102,やや満足した,4
102,どちらでもない,3
102,やや不満足だった,2
102,とても不満足だった,1
102,訪れていない,99
103,とても満足した,5
103,やや満足した,4
103,どちらでもない,3
103,やや不満足だった,2
103,とても不満足だった,1
103,訪れていない,99
104,とても満足した,5
104,やや満足した,4
104,どちらでもない,3
104,やや不満足だった,2
104,とても不満足だった,1
104,訪れていない,99
105,とても満足した,5
105,やや満足した,4
105,どちらでもない,3
105,やや不満足だった,2
105,とても不満足だった,1
105,訪れていない,99
106,とても満足した,5
106,やや満足した,4
106,どちらでもない,3
106,やや不満足だった,2
106,とても不満足だった,1
106,訪れていない,99
107,とても満足した,5
107,やや満足した,4
107,どちらでもない,3
107,やや不満足だった,2
107,とても不満足だった,1
107,訪れていない,99
108,とても満足した,5
108,やや満足した,4
108,どちらでもない,3
108,やや不満足だった,2
108,とても不満足だった,1
108,訪れていない,99
